circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أجيال التحدي,أهداف الثورة أولا,االتكتل من اجل العمل والحريات,اتحاد القوى الشبابية,الأصالة,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغاربي,الطليعة الشبابية,العريضة الشعبية,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المستقبل من أجل تونس,الوحدويين الاحرار,الوفاء لمشروع الشهيد,اليسر,تونس العزيزة,تونسنا الغالية,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب العمل التونسي,حزب المبادرة,حزب المجد,حزب الوسط الاجتماعي,صفاقسنا,صوت الريف,صوت صفاقس,قوى 14 جانفي,observers
24,6,3,104,1,579,509,700,1,190,191,509,700,0,0,498,5,6,509,0,False,7,,17,0,0,3,1,0,6,1,7,15,0,38,0,0,0,0,4,1,0,0,0,9,1,3,2,0,3,1,1,2,1,2,112,233,4,3,4,5,2,1,2,0,13,0,التحالف الديمقراطي:1  حزب المبادرة:2  حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
24,6,3,103,6,530,388,602,2,212,214,388,602,0,0,386,1,1,388,0,False,18:45,20:40,39,0,1,2,0,0,15,3,8,17,0,36,1,0,0,0,6,0,0,1,0,9,0,0,0,0,1,0,6,0,0,0,32,195,3,0,0,0,1,0,0,0,10,0,التحالف الديمقراطي:1  حركة نداء تونس:1  حركة النهضة:1  
24,6,3,103,5,530,383,600,1,216,217,383,600,0,0,382,0,1,383,0,False,18.45,21.00,20,0,0,1,0,0,1,2,6,17,0,20,2,2,1,1,7,0,0,0,1,5,0,0,0,0,1,2,3,1,0,0,88,182,1,1,2,1,3,2,1,2,6,0,حركة نداء تونس:1  حركة النهضة:1  
24,6,3,103,4,530,393,600,1,206,207,393,600,0,0,393,0,0,393,0,False,19.00,21.33,19,1,0,2,0,0,2,2,10,13,0,14,0,1,0,0,12,0,0,3,0,11,0,1,2,0,1,1,12,1,0,1,87,185,4,2,0,0,0,0,0,1,5,0,حركة نداء تونس:1  حركة النهضة:1  حزب الأمان:1  الجبهة الشعبية:1  
24,6,3,103,3,530,448,600,1,151,152,448,600,0,0,446,1,1,448,0,False,18.30,20.15,18,1,2,0,0,0,3,4,14,6,0,25,1,0,0,0,7,0,0,1,1,10,0,0,0,0,0,0,1,2,0,4,106,223,1,2,3,4,3,0,0,2,2,0,حركة وفاء:1  حركة نداء تونس:1  حركة النهضة:1  
24,6,3,103,2,530,455,606,1,150,151,455,606,0,0,450,1,4,455,0,False,18.30,0,18,1,1,0,0,0,4,3,9,16,0,24,0,0,1,0,9,0,0,2,0,7,0,1,0,0,2,0,3,1,0,0,82,245,4,3,2,2,1,2,1,0,5,1,آفاق تونس:1  حركة النهضة:1  
24,6,3,103,1,530,445,600,2,154,156,444,600,0,1,429,12,3,444,0,False,18:26,21:20,19,2,2,6,0,0,2,7,3,4,0,24,1,2,0,0,6,0,3,0,0,2,0,1,1,0,5,1,2,2,0,0,54,258,2,3,2,3,4,1,0,1,5,1,الحزب الجمهوري:1  آفاق تونس:1  حركة نداء تونس:1  حركة النهضة:1  
24,6,2,102,7,511,296,600,2,302,304,296,600,0,0,291,2,3,296,0,False,1910,2040,21,0,0,3,0,0,8,2,5,8,0,30,0,0,0,0,3,0,0,1,0,2,0,0,0,0,1,0,2,0,0,1,41,148,0,0,0,5,0,0,0,0,10,0,حركة نداء تونس:1  حركة النهضة:1  التحالف الديمقراطي:1  
24,6,2,102,6,515,354,600,0,246,246,354,600,0,0,352,0,2,354,0,True,1920,2100,17,1,0,1,0,0,4,2,8,11,0,26,0,0,0,0,6,0,0,1,0,4,0,0,1,0,2,1,0,3,0,2,59,188,1,2,0,3,0,0,0,1,8,0,حركة نداء تونس:1  حركة النهضة:1  
24,6,2,102,5,515,320,601,1,280,281,320,601,0,0,318,1,1,320,0,True,1910,2210,16,1,1,3,0,0,6,4,5,11,0,20,0,0,0,0,8,0,0,0,0,2,0,0,0,0,2,0,3,0,1,0,78,151,1,0,0,1,0,0,0,0,4,0,حركة النهضة:1  حركة نداء تونس:1  الاتحاد من اجل تونس:1  
