circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,أبناء الشعب,أمن شامل لانقاذ تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغربي,الحزب الليبرالي التونسي,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,القائمة البرقيبية,المؤتمر من أجل الجمهورية,النور للديمقراطية والتنمية,اليد في اليد,تونس للجميع,تيار المحبة الائتلافية ,تيار صوت الشعب الحر,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب التكتل,حزب العمل التونسي,حزب اللقاء الدستوري,حزب المبادرة,حزب المجد,صوت شعب تونس,عزم-توكل-بناء,لنا الحق,محيطنا نماء لثروتنا,نداء قرطاج,observers
2,6,3,51,4,570,518,596,5,73,78,518,596,0,0,516,0,2,518,0,False,19,"22,15",0,0,1,0,29,0,4,28,0,3,5,0,22,0,0,0,10,0,0,0,0,1,5,0,0,0,1,1,0,0,0,2,59,338,2,1,0,0,0,4,0,0,0,0,0,الاتحاد من أجل تونس :  حزب المبادرة:  حركة نداء تونس:  حركة النهضة:  
2,6,3,51,3,570,529,599,4,66,70,529,599,0,0,523,4,2,529,0,False,"18,50",22,0,1,0,0,24,0,1,32,0,2,12,0,12,2,0,0,10,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,44,372,1,2,0,0,2,0,1,0,0,0,0,حركة النهضة:  حركة نداء تونس:  الجبهة الشعبية:  حركة نداء تونس:  
2,6,3,51,2,570,528,600,3,69,72,528,600,0,0,526,2,0,528,0,False,18:40,21:30,1,0,0,0,13,0,2,17,0,3,3,0,17,1,0,0,4,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,34,417,1,2,0,0,2,1,0,0,0,0,2,حركة نداء تونس:1  حركة النهضة:1  افاق تونس:1  
2,6,3,51,1,570,527,600,3,70,73,527,600,0,0,521,5,1,527,0,False,1950,2220,0,0,0,0,20,0,2,13,0,2,4,0,11,1,0,0,2,0,0,0,0,0,4,0,0,3,2,0,0,1,0,0,29,405,3,6,1,0,8,0,0,0,0,1,3,الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  
2,6,2,50,4,555,411,600,1,188,189,411,600,0,0,405,3,3,411,0,False,1935,1950,0,0,0,0,32,0,12,5,0,2,8,0,13,0,0,0,2,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,41,273,2,4,0,0,1,1,1,1,0,0,0,حزب المبادرة:1  حركة النهضة:1  حركة نداء تونس:1  
2,6,2,50,3,553,404,600,0,196,196,404,600,0,0,401,1,2,404,0,False,1915,2223,1,0,0,0,20,0,2,4,1,3,18,0,13,1,0,0,6,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,40,266,2,6,2,0,8,0,0,1,0,0,1,حركة النهضة:1  حركة نداء تونس:1  
2,6,2,50,2,553,463,600,2,135,137,463,600,0,0,456,5,2,463,0,False,19:35,23:50,1,0,0,0,24,1,3,8,0,2,8,1,12,0,1,0,5,0,0,1,0,0,3,0,1,0,3,0,0,0,0,0,65,306,3,1,0,0,3,2,1,0,0,1,0,حركة النهضة:1  حركة نداء تونس:3  الاتحاد الوطني الحر:1  
2,6,2,50,1,553,468,600,5,127,132,468,600,0,0,451,6,11,468,0,False,19h45,23h,0,1,0,0,10,0,9,10,0,1,4,0,10,3,0,0,12,2,1,0,2,2,2,0,1,2,0,0,2,0,0,0,53,311,2,1,1,0,3,2,0,0,1,1,2,حركة النهضة:1  حركة نداء تونس:1  افاق تونس:1  الحزب الجمهوري:1  
2,6,2,49,5,575,509,700,1,190,191,509,700,0,0,508,0,1,509,0,False,1815,2250,0,0,0,0,29,0,7,19,0,6,10,0,16,0,1,0,5,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,57,337,1,5,1,0,2,0,1,0,0,0,1,حركة نداء تونس:2  
2,6,2,49,4,575,518,700,3,179,182,518,700,0,0,514,3,1,518,0,False,19h04,22h18,0,0,0,0,17,0,3,16,0,2,7,1,10,1,1,0,8,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,60,371,3,6,0,0,3,0,0,0,0,0,1,الاتحاد من أجل تونس :1  حركة نداء تونس:2  حركة النهضة:1  حزب المبادرة:1  
2,6,2,49,3,575,517,700,2,181,183,517,700,0,0,513,2,2,517,0,False,1832,2222,0,0,0,0,17,0,1,24,0,2,8,0,16,2,0,0,5,1,0,1,1,0,1,0,0,0,0,0,2,1,1,1,29,392,0,5,0,0,2,0,0,0,0,0,0,حركة نداء تونس:2  حركة النهضة:1  
2,6,2,49,2,575,530,699,4,169,173,526,699,0,4,522,3,1,526,0,False,1845,2200,0,0,1,1,15,0,2,18,0,7,4,0,15,2,0,0,3,1,0,0,0,1,3,0,2,0,0,0,0,0,0,1,39,396,2,4,0,0,3,1,0,1,0,0,0,افاق تونس:1  حركة النهضة:1  حركة نداء تونس:2  
