circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الاصلاح والمواطنة ,الانقاذ,التحالف الديمقراطي,التطلع,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الجمهوري,الحزب الديمراطي للعدالة والرخاء,الرفاهة,الشباب الديمقراطي,الشعب يريد,العدالة والتنمية,العزة لتونس,العزم والارادة والعمل,المؤتمر من أجل الجمهورية,المبادرة,تيار المحبة ,تيار صوت الشعب الحر,حركة التونسي,حركة النهضة,حركة وفاء,حزب المجد,صوت شعب تونس,فلاح,حركة نداء تونس,نضال كريم,observers
21,7,3,115,1,327,246,400,15,141,156,244,400,0,2,211,14,19,244,0,False,18.15,21.00,28,1,3,1,5,0,2,2,1,1,3,1,0,1,1,2,0,1,2,3,3,1,2,0,20,2,0,1,1,121,2,آفاق تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:2  
21,7,3,114,3,436,245,500,9,216,255,245,500,0,0,231,10,4,245,0,True,18.15,20.00,35,0,8,0,1,0,0,1,0,2,0,3,0,0,1,1,0,0,0,1,4,1,1,0,32,3,1,3,0,133,0,آفاق تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:2  
21,7,3,114,2,438,302,500,51,147,198,302,500,0,0,279,17,6,302,0,False,19h,20h15,23,1,9,2,3,0,2,0,1,2,4,4,1,0,0,2,1,1,0,3,5,1,0,1,39,5,2,3,1,163,0,حركة النهضة:1  نداء تونس:1  
21,7,3,114,1,438,337,500,0,163,163,337,500,0,0,291,23,23,337,0,True,1805,1955,25,0,8,4,3,1,1,3,0,2,9,1,2,2,1,4,1,1,2,3,3,4,2,2,28,9,2,2,0,165,1,آفاق تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:2  
21,7,2,113,1,581,356,700,14,330,344,356,700,0,2,322,21,15,358,2,False,1815,2115,25,0,22,2,5,0,0,1,3,1,1,4,0,1,1,1,1,1,0,2,1,5,0,1,82,10,1,2,7,140,1,الاتحاد الوطني الحر:1  حركة النهضة:1  
21,7,1,112,1,263,132,298,0,166,166,132,298,0,0,110,9,13,132,0,True,18h25,20h,4,0,0,1,2,0,0,0,0,2,1,1,0,0,1,0,1,0,0,1,1,1,0,0,14,0,0,1,0,79,0,حركة النهضة:1  نداء تونس:2  آفاق تونس:1  
21,7,1,111,2,356,236,494,1,257,258,236,494,0,0,233,1,2,236,0,False,18.19,19.51,45,0,4,0,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,2,0,1,0,123,2,1,0,0,48,0,آفاق تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  نداء تونس:2  
21,7,1,111,1,356,272,400,88,40,128,272,400,0,0,249,15,8,272,0,True,18.40,20.37,32,1,4,1,0,2,1,4,2,2,1,1,1,1,0,2,1,1,1,2,0,0,1,0,115,1,1,2,0,69,1,آفاق تونس:1  حركة النهضة:1  نداء تونس:2  
21,7,1,110,4,567,379,604,1,224,225,379,604,0,0,376,0,3,379,0,True,18.50,21.05,86,1,5,0,0,0,0,0,3,6,2,1,0,0,0,1,0,1,1,9,0,3,0,0,172,1,0,0,1,83,0,آفاق تونس:1  حركة النهضة:2  نداء تونس:2  
21,7,1,110,3,570,423,598,2,173,175,423,598,0,0,415,6,2,423,0,True,18.10,21.37,85,0,9,0,0,0,1,0,4,3,0,3,0,1,1,1,0,0,0,4,3,2,0,0,193,1,0,0,2,102,0,آفاق تونس:1  حركة النهضة:2  نداء تونس:2  
21,7,1,110,2,570,476,600,4,120,124,476,600,0,0,460,7,9,476,0,False,18.43,22.06,79,0,5,0,2,0,0,1,3,2,3,3,0,0,0,0,0,0,3,3,5,2,0,0,238,4,0,0,0,107,0,آفاق تونس:1  حركة النهضة:1  نداء تونس:2  الاتحاد الوطني الحر:1  
21,7,1,110,1,570,426,600,11,163,174,426,600,0,0,387,36,3,426,0,True,18h35,20h50,65,0,4,1,3,1,1,1,3,7,3,4,0,1,0,2,0,2,2,0,4,3,1,1,144,4,3,2,1,122,2,حركة النهضة:2  نداء تونس:1  آفاق تونس:1  
21,5,8,94,1,185,114,300,0,186,186,114,300,0,0,105,7,2,114,0,False,1805,1920,0,1,1,1,1,0,0,0,0,3,0,3,1,3,0,0,1,2,0,0,0,2,2,1,6,2,0,2,2,71,0,نداء تونس:1  حركة النهضة:2  
21,5,8,93,1,440,233,500,0,267,267,233,500,0,0,215,9,9,233,0,True,1805,1920,2,1,4,2,1,2,3,1,0,1,1,7,1,3,1,2,1,3,1,1,2,4,3,21,12,4,1,2,1,127,0,حركة النهضة:1  آفاق تونس:1  نداء تونس:1  
21,5,7,92,1,396,204,500,3,300,303,204,507,7,0,192,9,3,204,0,False,1838,2049,9,0,3,4,0,0,2,1,7,3,3,1,2,2,1,2,0,0,0,5,1,3,2,2,91,11,0,3,1,32,1,حركة النهضة:2  آفاق تونس:1  
21,5,6,91,1,96,57,200,0,143,143,57,200,0,0,52,3,2,57,0,True,1800,1910,2,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,3,0,0,22,0,0,1,0,16,1,نداء تونس:1  آفاق تونس:1  حركة النهضة:3  
