circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الانفتاح والوفاء,التحالف الديمقراطي,التقارب,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحراك الاجتماعي,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاسلامي التونسي,الحزب الاشتراكي,الحزب الجمهوري,الشعب يريد,اللقاء الدستوري,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة الوحدة الشعبية,حركة وفاء,حزب الأمان,حزب العدالة والتنمية,حزب المبادرة,حزب المصالحة بالمنستير,حركة النهضة,دولة حق,زرقاء اليمامة,شمس المحبة,شهداء تونس,صوت شعب تونس,قائمة تصحيح المسار,قائمة حزب المؤتمر من أجل الجمهورية,حركة نداء تونس,observers
22,11,1,127,5,567,424,600,0,176,176,424,600,0,0,417,5,2,424,0,True,1900,2105,38,1,5,1,1,1,0,2,4,4,0,0,0,1,0,0,0,0,2,0,1,1,3,0,0,7,0,92,0,0,0,2,0,1,4,246,حزب حركة النهضة:1  نداء تونس:1  
22,11,1,127,4,567,460,600,0,140,140,460,600,0,0,458,2,0,460,0,True,18:30,20:45,31,0,6,0,0,2,0,1,2,6,0,0,0,0,0,1,1,0,5,0,3,0,4,0,1,14,1,131,0,0,1,1,3,0,1,243,حزب حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
22,11,1,127,3,567,484,600,1,116,117,484,599,1,0,472,8,4,484,0,False,18.00,20.00,39,1,5,0,2,0,0,0,5,7,0,2,0,1,0,2,0,0,2,0,0,0,3,0,2,7,1,132,1,0,1,1,0,2,2,254,حزب حركة النهضة:1  نداء تونس:1  
22,11,1,127,2,567,453,596,4,139,143,453,596,0,2,427,13,13,453,0,True,1830,2040,23,1,4,1,2,0,1,0,4,1,0,0,2,2,1,3,4,0,1,1,3,1,4,0,0,7,2,96,0,0,0,4,1,5,3,250,نداء تونس:1  حزب حركة النهضة:1  
22,11,1,127,1,567,461,600,5,134,139,461,600,0,0,446,11,4,461,0,True,18:20,21,22,1,4,3,1,1,0,3,4,2,0,0,0,1,1,5,1,0,6,1,0,0,5,1,2,1,0,114,1,0,2,0,0,2,1,261,حزب حركة النهضة:1  نداء تونس:1  
22,10,4,126,6,520,313,600,0,287,287,313,600,0,0,306,5,2,313,0,True,18:05,20:50,5,0,8,1,0,1,0,0,7,13,1,0,0,0,1,5,0,1,6,1,2,0,1,0,0,12,0,59,1,0,0,0,0,0,3,178,حزب حركة النهضة:1  حزب المبادرة:1  نداء تونس:1  
22,10,4,126,5,524,384,600,0,216,216,384,600,0,0,379,2,3,384,0,True,1830,2045,16,1,6,2,1,0,0,0,2,12,0,1,0,1,1,1,0,0,2,0,0,0,3,0,0,11,0,37,0,0,2,0,0,0,3,277,حزب حركة النهضة:1  حزب المبادرة:1  نداء تونس:1  الجبهة الشعبية:1  
22,10,4,126,4,524,428,601,2,171,173,428,601,0,0,419,6,3,428,0,True,1827,2100,11,0,5,1,1,0,1,2,3,9,0,1,0,0,0,6,0,0,4,0,0,0,2,0,0,16,0,50,1,0,3,0,0,0,6,297,حزب حركة النهضة:1  حزب المبادرة:1  تيار المحبة:1  نداء تونس:1  
22,10,4,126,3,524,418,596,0,178,178,418,596,0,0,409,4,5,418,0,True,1835,2025,12,1,8,0,1,4,1,2,7,3,0,1,0,2,0,3,0,0,10,0,0,0,2,0,1,6,0,77,0,0,0,0,1,1,2,264,الجبهة الشعبية:1  حزب المبادرة:1  نداء تونس:1  :  
22,10,4,126,2,524,472,599,4,126,127,472,599,0,0,449,14,9,472,0,True,1815,2030,8,0,9,3,0,0,0,2,1,6,1,1,0,0,1,5,1,0,4,0,0,0,4,2,3,10,1,60,0,0,1,3,0,5,4,314,حزب حركة النهضة:1  نداء تونس:1  حزب المبادرة:1  
