circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإنصاف , التحالف الديمقراطي,الجبهة الشعبية, الجبهة الوطنية التونسية, الحركة الدستورية, الحرية , الحزب الجمهوري , الشعب يريد , العدالة والتنمية, تونس العزيزة , تيار المحبة , حركة التونسي, حركة الديمقراطيين الإشتراكيين ,حركة النهضة, حركة الوحدويين الأحرار ,حركة نداء تونس, حركة وفاء, حزب الأمان , حزب التكتل , حزب المبادرة, حزب المجد , عدالة وسلام,أوفياء,الاتحاد الوطني الحر,التيار الديمقراطي ,الثبات,المؤتمر من أجل الجمهورية,حركة الشعب,حزب البناء الوطني,حزب العمل التونسي ,صوت شعب تونس,observers
27,4,13,75,1,578,311,697,2,384,386,311,697,0,0,287,18,6,311,0,False,19:05,21:10,2,0,1,7,1,0,7,2,1,3,4,2,1,191,0,20,2,1,2,0,0,8,1,8,1,1,19,1,1,0,0, حركة النهضة :2   حركة نداء تونس :2  
27,4,12,74,1,85,59,200,0,141,141,59,200,0,0,54,1,4,59,0,False,18:10,18:52,0,0,0,0,2,0,0,0,0,1,1,0,0,18,0,28,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1, حركة النهضة :1   حركة نداء تونس :1  
27,4,12,73,1,81,55,100,0,45,45,55,100,0,0,52,2,1,55,0,False,19:00,18:40,0,0,2,0,0,1,0,0,0,0,0,0,0,35,1,1,1,0,0,0,0,1,0,4,0,2,1,0,1,2,0, حركة النهضة :1  
27,4,12,72,1,230,147,295,0,148,148,147,295,0,0,139,4,4,147,0,False,18h20,19h40,0,1,1,0,0,0,13,2,0,0,0,0,0,103,0,14,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0, حركة نداء تونس :1   الحزب الجمهوري :1  
27,4,11,71,1,64,45,100,1,54,55,45,100,0,0,43,1,1,45,0,True,18h,18h50,0,0,0,0,0,1,1,0,0,0,0,0,0,32,0,4,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0, حركة النهضة :1   حركة نداء تونس :1  
27,4,11,70,1,270,176,300,2,124,126,174,300,0,2,160,11,3,174,0,True,1820,2015,0,0,0,0,2,1,6,2,0,1,2,0,0,120,3,12,2,0,1,2,0,3,1,1,0,0,0,0,0,0,1, الحزب الجمهوري :1   حركة النهضة :3   حركة نداء تونس :1  
27,4,11,69,1,116,68,200,0,132,132,68,200,0,0,63,4,1,68,0,True,1815,,0,0,0,0,0,0,2,0,0,0,0,1,0,45,1,7,0,0,0,0,0,2,0,0,0,0,3,0,0,1,1, حركة النهضة :1  
27,4,11,68,1,26,20,100,0,80,80,20,100,0,0,20,0,0,20,0,True,18h,18h45,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, حركة النهضة :  
27,4,10,67,1,189,128,300,0,172,172,128,300,0,0,124,3,1,128,0,True,18h15,19h15,0,1,3,0,2,0,1,0,0,0,0,0,0,76,0,6,0,1,1,1,0,8,0,5,0,8,8,2,0,0,1, حركة النهضة :2   حركة نداء تونس :1  
27,4,9,66,1,206,108,300,1,191,192,108,300,0,0,104,4,0,108,0,True,18h15,19h05,0,1,0,1,1,1,1,0,0,1,0,1,3,67,1,7,2,1,1,3,0,1,0,3,1,1,2,1,1,1,1, حركة النهضة :1  صوت شعب تونس:1  
