circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمل تونس,اتحاد الشباب الديمقراطي التونسي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,التحالف الديمقراطي,التحدي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الدخلة للعمل والعدالة والتنمية,الريادة,الشعب يريد,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,تميز,تونس العزيزة,تيار المحبة,جبهة 17 ديسمبر للتنمية,حركة البديل,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي ,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب المجد,حزب حركة الجمهورية,صوت شعب تونس,قائمة سامي بالحاج,observers
11,3,1,44,1,577,506,700,50,144,194,506,700,0,0,497,6,3,506,0,False,1830,2110,23,2,0,8,4,2,1,1,16,19,1,0,2,11,0,0,3,0,2,3,4,0,0,2,1,2,1,0,0,109,275,2,0,2,1,0,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  
11,3,1,43,5,602,387,602,20,195,215,387,602,0,0,383,3,1,387,0,False,1910,2130,17,0,0,34,1,6,0,4,22,11,3,1,1,9,1,0,0,1,0,4,4,0,1,2,1,0,0,2,0,81,174,2,1,0,0,0,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  
11,3,1,43,4,563,447,600,9,144,153,447,600,0,0,442,3,2,447,0,False,1855,2110,26,2,0,22,2,7,0,6,17,3,0,1,0,13,0,0,0,0,0,6,1,0,3,0,0,0,0,0,2,130,198,3,0,0,0,0,حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  صوت شعب تونس:1  
11,3,1,43,3,563,476,600,3,121,124,476,600,0,0,470,5,1,476,0,True,,2300,20,0,0,25,1,2,0,4,14,6,2,1,0,6,0,0,0,0,0,1,0,0,2,4,0,0,1,0,2,162,212,1,0,0,4,0,حركة نداء تونس:1  الجبهة الشعبية:1  
11,3,1,43,2,563,487,600,12,102,114,486,600,0,1,461,18,6,485,1,False,1905,,17,3,0,20,2,5,1,7,11,12,2,2,2,10,0,1,2,0,1,1,2,0,4,4,1,3,1,0,1,110,225,3,3,2,1,2,حركة نداء تونس:1  حركة النهضة:1  
11,3,1,43,1,563,471,600,17,112,129,471,600,0,0,426,24,21,471,0,False,19.00,21.15,15,0,0,9,2,2,0,5,8,5,2,3,1,15,0,1,0,0,0,2,4,0,2,1,1,4,4,4,4,110,205,7,1,3,3,3,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
11,3,1,42,6,544,374,604,3,227,230,374,604,0,0,368,2,4,374,0,False,1850,2235,14,1,1,41,1,5,0,8,14,18,2,0,0,9,0,0,1,0,0,8,1,0,1,2,0,1,0,1,1,62,171,2,0,1,2,0,حركة نداء تونس:1  حركة النهضة:1  تونس العزيزة:1  الجبهة الشعبية:1  
11,3,1,42,5,545,403,602,4,195,199,403,602,0,0,399,1,3,403,0,False,1900,2030,21,1,0,38,1,6,0,2,25,8,0,0,0,8,0,0,0,0,1,6,2,0,0,1,0,0,0,1,2,87,180,4,1,1,1,2,الجبهة الشعبية:1  تونس العزيزة:1  حركة نداء تونس:1  حركة النهضة:1  
11,3,1,42,4,545,459,600,1,140,141,459,600,0,0,449,7,3,459,0,True,1845,2100,20,0,0,23,2,4,0,5,19,15,2,0,2,11,0,0,0,0,0,6,3,0,0,1,0,3,2,0,1,131,194,3,0,0,0,2,حركة نداء تونس:1  حركة النهضة:1  
11,3,1,42,3,545,439,600,1,160,161,439,600,0,0,425,2,2,5,0,False,1825,,11,0,0,8,1,8,0,7,9,15,1,0,3,6,1,1,0,0,0,3,4,0,2,3,0,5,1,0,0,131,185,6,0,2,1,1,الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  اتحاد الوطني الحر:1  التكتل من أجل العمل والحريات:1  
11,3,1,42,2,545,465,600,14,121,135,465,600,0,0,440,14,11,465,0,True,18h45,21h,13,1,0,12,2,2,0,2,5,16,0,0,2,9,1,0,1,1,2,3,8,1,1,2,1,1,1,1,4,116,220,5,0,2,3,2,اتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  الحزب الجمهوري:1  
11,3,1,42,1,545,471,600,1,128,129,471,600,0,0,429,17,25,471,0,True,18h30,22h15,17,4,0,12,2,2,2,4,8,9,1,4,1,8,0,3,2,0,1,5,2,0,1,2,1,6,1,1,3,81,233,6,2,3,2,0,اتحاد الوطني الحر:1  حركة نداء تونس:1  الجبهة الشعبية:  حركة النهضة:  
