circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, إتحاد الشباب الديمقراطي التونسي,آفاق تونس,إتحاد القوى الوطنية,إرادة الشعب,الأديب للتنمية والعدالة,الأمان,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الرافدة,الشعب يريد,الصباح الجديد لتونس,العريضة الشعبية,القائمة البورقيبية,المؤتمر من أجل الجمهورية,المبادرة,باب الأمل,تحيا تونس,تيار المحبة,جوهرة,حركالتونسي,حركة الاقلاع إلى المستقبل,حركة الديمقراطيين الاشتراكيين ,حركة الربيع العربي,حركة الشعب,حركة النهضة,حزب التكتل,حزب التكتل الشعبي من أجل تونس,حزب العدل والتنمية ,حزب العمل التونسي,حزب القيم الوطنية,حزب المستقبل,حضر موت,سيادة الشعب,صوت شعب تونس,حركة نداء تونس,observers
20,9,1,96,1,509,386,600,2,212,214,386,600,0,0,357,18,11,386,0,True,1910,2225,0,10,0,2,0,1,0,5,0,1,1,6,2,1,0,2,0,2,1,0,1,1,1,3,9,0,0,3,1,0,0,2,0,0,71,5,1,1,1,0,0,1,1,2,219,نداء تونس:1  حركة النهضة:1  
20,9,1,95,9,574,460,600,0,140,140,460,600,0,0,456,2,2,460,0,True,1815,2138,0,35,0,0,0,0,0,5,0,8,9,9,0,2,0,0,5,1,1,0,0,0,0,4,7,0,0,1,1,0,0,0,1,0,44,2,0,0,1,0,0,0,0,0,320,نداء تونس:1  الجبهة الشعبية:1  
20,9,1,95,8,578,446,600,0,154,154,446,600,0,0,440,4,2,446,0,True,1830,2130,0,44,0,0,0,0,0,4,1,1,5,6,0,0,0,0,1,0,0,1,0,1,0,5,7,0,1,2,0,0,1,0,1,1,45,0,0,0,1,1,0,0,0,0,311,نداء تونس:1  حركة النهضة:1  
20,9,1,95,7,578,429,700,1,270,271,429,700,0,0,427,1,1,429,0,True,1810,2200,0,35,0,0,0,1,0,7,3,4,8,12,0,1,1,0,6,0,0,0,0,0,1,6,13,0,0,1,1,0,0,0,0,0,55,1,2,0,0,0,0,0,1,0,268,الاتحاد من أجل تونس :1  نداء تونس:1  حركة النهضة:1  
20,9,1,95,6,578,491,700,4,205,209,491,700,0,0,490,0,1,491,0,True,19,21:25,0,21,0,0,0,0,2,3,1,8,7,10,2,1,1,0,6,0,0,0,0,1,0,5,10,0,0,0,0,0,0,1,1,0,58,1,1,2,0,0,1,0,0,0,347,الجبهة الشعبية:1  حركة النهضة:1  نداء تونس:1  
20,9,1,95,5,578,504,700,0,196,196,504,700,0,0,502,0,2,504,0,True,18:15,21:17,0,28,0,2,0,0,0,8,3,5,6,10,2,5,0,1,7,0,0,0,1,0,1,2,6,0,1,1,0,0,0,0,0,1,72,3,0,0,0,0,0,0,2,0,335,حركة النهضة:1  نداء تونس:1  
20,9,1,95,4,578,515,700,2,184,186,514,700,0,1,511,2,1,514,0,True,19,23:25,0,30,0,0,0,0,0,1,4,4,8,10,0,0,2,0,6,0,1,0,0,1,0,4,12,0,0,0,0,0,0,0,1,0,89,3,0,0,0,0,0,1,0,0,334,التحالف الديمقراطي:1  نداء تونس:1  آفاق تونس:1  حركة النهضة:1  
20,9,1,95,3,578,523,700,4,176,180,520,700,0,3,507,7,6,520,0,True,18:30,22:05,0,19,1,0,0,1,0,3,2,17,4,3,3,3,0,2,5,0,0,0,0,0,3,3,8,0,0,1,0,0,0,2,0,0,69,7,3,0,0,0,0,0,1,0,347,الجبهة الشعبية:1  نداء تونس:1  حركة النهضة:1  
20,9,1,95,2,578,517,700,0,183,183,517,700,0,0,506,9,2,517,0,True,18:08,21:45,1,16,0,0,0,1,1,1,2,11,9,4,2,0,1,0,4,0,1,0,0,1,4,6,8,0,3,0,0,1,2,0,0,0,64,4,0,0,1,0,0,0,0,0,358,حركة النهضة:1  حزب التكتل:1  نداء تونس:1  
20,9,1,95,1,578,492,699,3,205,208,491,699,0,1,484,6,1,491,0,True,20:05,00:10,0,17,0,0,0,0,0,3,2,7,4,12,1,0,1,0,5,0,0,0,1,1,2,6,10,0,3,4,0,0,1,2,0,0,67,6,2,0,0,0,1,0,0,0,326,حركة النهضة:1  نداء تونس:1  آفاق تونس:1  
20,9,1,94,8,545,352,600,0,248,248,352,600,0,0,347,2,3,352,0,True,18.05,19.27,0,23,0,0,0,0,0,4,0,4,2,13,1,0,1,0,4,1,0,0,0,1,0,2,12,1,0,0,2,0,0,0,0,0,67,0,0,0,0,0,0,0,0,1,208,نداء تونس:1  حركة النهضة:1  
20,9,1,94,7,548,326,600,4,270,274,326,600,0,0,323,3,0,326,0,True,18.30,20.43,0,14,0,0,0,0,0,2,1,3,10,6,0,1,0,0,5,0,0,0,0,1,0,9,6,0,1,1,2,1,1,0,1,1,67,0,1,0,0,0,0,0,0,0,189,نداء تونس:1  حركة النهضة:  
20,9,1,94,6,548,323,600,0,277,277,323,323,0,0,319,1,3,323,0,True,18.30,21.00,1,11,0,0,0,0,0,14,1,2,9,11,0,1,0,0,4,0,0,0,1,0,1,6,6,1,0,1,1,0,0,0,0,0,96,1,0,1,0,1,0,0,0,0,149,نداء تونس:2  حركة النهضة:1  المبادرة:1  
