circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أحرار باجة,إرادة الحياة,اتحاد القوى الشبابية,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارادة,الانتفتاح و الوفاء,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للإنقاذ,الحركة الدستورية,الحزب الجمهوري,الشعب يريد ,الطريق المستقيم,الطموح و الاصلاح,الفلاح,القوة العمّالية,المؤتمر من أجل الجمهورية,المبادرة,المستقبل,المستقلون الاحرار,النور الديمقراطي و التنمية,تونس العزيزة,تونس للجميع,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الخضر للتقدم,حزب العدالة و التنمية,حزب الغد ,حزب اللقاء الدستوري,حزب المجد,حزب المحافظون التونسيّون الجدد,قائمة التحدّي,قائمة الحزب الاسلامي التونسي,observers
10,9,5,133,2,328,173,400,0,227,227,173,400,0,0,157,3,13,173,0,False,"18,30","20,50",0,0,0,0,0,3,0,4,0,0,2,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2,2,0,1,0,0,77,48,4,2,0,1,1,1,1,1,0,1,حركة نداء تونس:  حركة الشعب:  الارادة:  
10,9,5,133,1,329,258,400,1,141,142,258,400,0,0,224,26,8,258,0,False,1800,2100,0,2,0,0,1,2,0,6,1,0,0,3,0,1,0,2,1,1,1,1,0,1,0,1,1,2,4,1,0,1,4,3,107,57,11,0,2,2,2,0,2,1,0,0,حركة النهضة:1  الحركة الدستورية:1  حركة نداء تونس:1  حركة الشعب:1  
10,9,5,132,3,424,225,500,0,275,275,225,500,0,0,199,4,22,225,0,False,1835,2015,0,0,1,0,0,3,0,6,0,2,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,101,38,26,2,2,2,1,0,0,0,0,1,الحركة الدستورية:1  
10,9,5,132,2,424,324,500,24,158,182,318,500,0,6,280,25,13,318,0,False,18:15,21:31,1,1,0,0,0,5,1,3,0,0,2,1,6,1,2,1,0,1,2,1,0,1,2,1,0,0,1,3,2,0,2,1,130,77,26,1,0,3,0,0,0,1,1,0,حركة الشعب:  حركة النهضة:  الاتحاد الوطني الحر:  حركة نداء تونس:  الارادة:  
10,9,5,132,1,424,320,500,0,180,180,320,500,0,0,257,56,7,320,0,False,1800,2000,1,0,1,0,0,7,3,7,1,1,2,2,3,1,0,6,0,1,0,1,3,1,5,3,1,0,6,1,0,3,6,0,108,35,38,0,1,2,2,0,1,1,2,1,حركة النهضة:1  حركة نداء تونس:1  حركة الشعب:1  
10,9,4,131,2,521,245,600,2,353,355,245,600,0,0,219,2,24,245,0,False,1835,1935,0,1,2,1,1,6,1,0,0,1,0,1,2,1,0,2,2,0,0,0,0,0,1,1,1,1,2,0,0,3,3,0,78,52,50,2,0,1,1,0,0,1,0,1,حركة الشعب:1  حركة نداء تونس:1  
10,9,4,131,1,521,325,600,0,275,275,325,600,0,0,252,11,62,325,0,False,18:15,20:30,2,2,2,0,0,5,0,4,2,1,4,1,2,1,1,4,0,1,0,0,4,0,0,2,3,1,4,5,3,2,3,0,67,45,69,4,0,3,0,2,0,1,2,0,حركة الشعب:  حركة نداء تونس:2  حركة النهضة:  الاتحاد الوطني الحر:  
10,9,3,130,2,370,273,400,1,127,128,272,400,0,1,265,3,4,272,0,False,19:00,20:00,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,201,44,6,1,3,0,0,0,0,2,0,0,حركة الشعب:  حركة النهضة:  حركة نداء تونس:  الاتحاد الوطني الحر:  
10,9,3,130,1,371,318,400,2,80,82,318,400,0,0,318,26,9,353,283,False,18:15,20:00,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,3,1,0,2,2,1,1,0,1,216,36,9,0,0,1,0,3,1,0,1,1,حركة الشعب:  حركة نداء تونس:  
10,9,3,129,2,436,282,500,1,218,219,281,500,0,1,271,10,0,281,0,False,18:15,20:10,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,2,0,0,2,1,0,205,37,12,0,0,1,0,0,0,0,0,0,حركة نداء تونس:  حركة الشعب:  
10,9,3,129,1,436,351,500,0,149,149,351,500,0,0,312,6,33,351,0,False,1830,,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,236,49,14,0,1,0,0,1,0,1,0,0,حركة النهضة:1  حزب اللقاء الدستوري:1  حركة الشعب:1  الحركة الدستورية:1  حركة نداء تونس:1  
10,9,3,128,3,522,336,600,0,264,264,336,600,0,0,328,5,3,336,0,True,1815,2100,0,1,0,0,0,6,1,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,57,17,0,1,0,0,3,0,0,0,1,حركة النهضة:1  حركة الشعب:1  
10,9,3,128,2,523,404,600,0,196,196,404,600,0,0,383,9,12,404,0,False,1850,2125,0,1,0,0,0,6,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,264,83,2,2,1,0,0,3,0,0,0,0,حركة النهضة:1  حركة الشعب:1  حزب اللقاء الدستوري:1  
10,9,3,128,1,523,431,600,2,168,170,430,600,0,1,388,36,6,430,0,True,1830,2130,0,0,0,0,0,5,1,2,1,1,0,0,6,0,2,0,1,0,0,1,0,0,0,1,0,1,1,2,1,0,0,1,275,53,16,4,1,2,0,8,0,2,0,0,حركة نداء تونس:1  حركة الشعب:1  
10,9,2,127,2,523,299,600,1,300,301,299,300,300,0,282,12,5,299,0,True,1800,2020,2,2,0,1,0,11,1,2,0,0,3,0,8,2,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,87,114,33,2,1,3,0,2,0,0,1,0,الاتحاد الوطني الحر:1  حركة الشعب:1  حركة النهضة:1  
10,9,2,127,1,524,404,600,0,196,196,404,600,0,0,351,38,15,404,0,True,1830,2210,0,2,1,2,0,9,2,4,0,0,2,1,5,1,0,2,0,0,1,2,5,1,3,3,3,0,3,4,2,4,4,2,92,125,48,5,1,4,1,3,0,3,0,1,حركة النهضة:1  حركة نداء تونس:1  حركة الشعب:1  
10,9,2,126,1,447,305,500,0,194,195,305,500,0,0,265,9,31,305,0,False,1835,2200,0,4,1,0,0,2,1,0,1,1,1,1,2,3,1,2,1,1,1,1,2,2,2,3,0,1,1,4,3,1,1,0,53,123,30,1,2,5,1,1,0,1,4,0,حركة الشعب:1  حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
10,9,2,125,5,561,327,599,0,272,272,328,600,1,1,323,3,2,328,0,False,1815,2100,0,0,0,0,1,21,0,6,0,1,0,3,22,0,0,2,3,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,131,75,51,1,0,0,0,1,0,0,0,0,تونس العزيزة:1  الاتحاد الوطني الحر:1  
10,9,2,125,4,564,380,600,2,218,220,380,600,0,0,371,8,1,380,0,False,1830,2100,0,4,0,0,0,6,0,6,0,0,0,5,13,1,0,2,3,0,0,0,1,0,3,4,0,0,0,0,2,2,0,1,134,116,66,1,0,0,0,1,0,0,0,0,حركة الشعب:1  
