circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد القوى الشبابية,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التآبف الوحدوي الديمقراطي,التحالف الديمقراطي,التكتل ,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,المؤتمر من أجل الجمهورية,تونس المستقبل,تيار المحبة,جبهة 17 ديسمبر للتنمية,حركة الجمهورية,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الاصلاح والتنمية,حزب الخضر,حزب العمل التونسي,حزب الغد,حزب المبادرة ,شباب الوحدة,صوت شعب تونس,حركة نداء تونس,observers
12,5,4,71,1,565,485,701,12,205,217,484,701,0,1,449,23,12,484,0,True,1855,2152,9,1,9,2,4,6,0,9,19,0,5,6,2,2,1,3,3,0,0,1,1,105,4,0,2,2,3,2,0,2,246,نداء تونس :1  الجبهة الشعبية:1  التحالف الديمقراطي:1  حركة النهضة:1  
12,5,4,70,4,538,373,600,14,214,228,372,600,0,1,369,2,1,372,0,True,1830,2035,13,0,32,3,0,5,0,7,12,0,2,5,0,4,0,1,0,0,0,0,1,79,4,1,0,0,0,2,0,0,198,الجبهة الشعبية:1  الحزب الجمهوري:1  التحالف الديمقراطي:1  نداء تونس :1  حركة النهضة:1  
12,5,4,70,3,538,429,600,9,163,172,429,601,1,0,403,21,5,429,0,True,18.47,20.38,5,0,25,3,2,8,1,9,19,1,5,10,0,1,0,1,0,1,1,1,0,105,5,0,3,0,0,0,1,0,194,الحزب الاشتراكي:1  آفاق تونس:1  الجبهة الشعبية:1  نداء تونس :1  الاتحاد الوطني الحر:1  حركة النهضة:1  
12,5,4,70,2,538,409,600,16,176,192,408,600,0,1,379,27,2,408,0,True,"18,35","21,20",7,0,18,2,3,8,2,13,17,1,8,5,1,3,0,4,2,0,0,2,1,79,0,1,2,1,3,1,0,0,195,التحالف الديمقراطي:  نداء تونس :  حركة النهضة:  الجبهة الشعبية:  الاتحاد الوطني الحر:  
12,5,4,70,1,538,433,600,4,164,168,432,600,0,1,398,12,22,432,0,False,20:18,21:35,6,0,14,5,3,5,2,9,7,0,1,6,1,4,1,2,2,1,1,1,2,79,2,4,1,0,4,0,1,1,233,نداء تونس :1  حركة النهضة:1  التيار الديمقراطي:1  الاتحاد الوطني الحر:1  التحالف الديمقراطي:1  
12,5,3,69,3,483,307,600,0,293,293,307,600,0,0,297,2,8,307,0,True,19.04,20.09,4,1,9,0,0,8,2,1,14,0,2,5,0,3,0,1,1,1,0,0,0,82,3,0,0,0,0,1,0,0,159,الجبهة الشعبية:1  نداء تونس :1  حركة النهضة:1  
12,5,3,69,2,485,342,603,1,259,260,343,603,0,1,319,10,13,342,0,True,1915,2105,1,0,18,1,2,9,0,3,4,0,0,4,0,3,0,3,1,2,1,0,1,104,3,1,2,0,2,0,0,0,155,الجبهة الشعبية:1  التحالف الديمقراطي:1  حركة النهضة:1  نداء تونس :1  
12,5,3,69,1,485,357,600,4,239,243,357,600,0,0,295,48,14,357,0,True,18.51,21.35,1,0,5,3,5,4,1,2,2,0,11,5,2,3,0,6,2,0,1,0,0,49,3,5,1,1,3,1,4,0,175,التحالف الديمقراطي:1  نداء تونس :1  حركة النهضة:1  
12,5,2,68,2,564,368,600,0,232,232,368,600,0,0,358,8,2,368,0,True,18.15,21.30,1,1,28,144,1,12,0,2,17,0,4,1,0,0,0,1,1,1,0,0,0,62,0,0,1,0,0,1,0,1,79,الاتحاد من اجل تونس:1  التحالف الديمقراطي:1  نداء تونس :2  حركة النهضة:2  
12,5,2,68,1,564,442,600,0,158,158,442,600,0,0,367,25,50,442,0,True,1900,2130,1,0,10,136,3,9,1,2,8,0,5,2,3,1,1,6,1,1,1,4,2,59,2,2,0,3,6,1,2,1,94,الجبهة الشعبية:1  التحالف الديمقراطي:1  نداء تونس :2  حركة النهضة:2  
